order_id,customer_id,order_date,product_category,order_amount,currency,order_status,region
56,7,2021-10-19,Support,487795.05,INR,Completed,
57,7,2023-11-26,Training,387428.49,INR,Completed,
58,9,2023-04-25,IP Licensing,116256.19,INR,Completed,
59,9,2024-10-02,Tools,467486.03,INR,Pending,Unknown
60,9,2024-07-22,Training,296872.14,INR,Completed,
61,9,2024-11-29,Tools,464816.94,INR,Pending,
62,9,2022-09-28,Training,70390.74,INR,Cancelled,
63,9,2022-07-09,Training,415859.85,INR,Cancelled,
64,9,2024-05-13,Training,426355.4,INR,Completed,
65,9,2021-12-08,Training,292999.19,USD,Cancelled,
66,9,2022-02-01,IP Licensing,74893.64,EUR,Cancelled,
67,9,2024-05-25,Support,371793.97,EUR,Cancelled,
68,9,2023-05-09,Training,285145.4,INR,Pending,
69,9,2023-12-09,IP Licensing,452669.8,EUR,Completed,
70,,2022-11-19,IP Licensing,43328.35,INR,Pending,
71,9,2022-06-10,Consulting,417469.67,INR,Cancelled,
72,9,2023-05-07,Support,358701.38,USD,Pending,
73,10,2021-10-19,Training,182698.73,EUR,Completed,APAC
74,10,2021-03-15,Support,236380.01,EUR,Cancelled,APAC
75,10,2024-06-28,Support,262223.75,USD,Completed,APAC
76,10,2022-05-21,Support,236800.6,USD,Completed,APAC
77,10,2024-12-07,Tools,96903.51,INR,Pending,APAC
78,9999999,2024-09-25,Consulting,284026.17,USD,Pending,APAC
79,10,2023-08-16,Consulting,103088.5,USD,Completed,APAC
80,10,2022-03-19,IP Licensing,132626.09,USD,Pending,APAC
81,10,2021-02-02,IP Licensing,177955.08,INR,Cancelled,APAC
82,10,2024-08-12,Support,175454.54,USD,Pending,APAC
83,10,2024-04-14,IP Licensing,241108.91,EUR,Cancelled,APAC
84,10,2021-11-29,IP Licensing,213709.69,USD,Completed,APAC
85,10,2024-09-06,Support,209687.76,INR,Completed,APAC
86,10,2024-03-01,IP Licensing,442148.54,INR,Cancelled,APAC
87,10,2021-12-30,Support,348580.25,INR,Cancelled,APAC
88,11,2021-11-22,Consulting,182293.76,INR,Pending,APAC
89,11,2023-04-28,IP Licensing,83987.27,INR,Pending,APAC
90,11,2021-11-01,Training,82964.59,INR,Cancelled,APAC
91,11,2023-07-11,Training,68710.72,EUR,Cancelled,APAC
92,11,2023-05-22,Tools,359330.72,INR,Completed,APAC
93,11,2022-07-03,Consulting,203734.09,USD,Completed,APAC
94,11,2024-03-20,IP Licensing,444732.8,INR,Cancelled,APAC
95,11,2021-12-10,IP Licensing,35987.44,INR,Cancelled,APAC
96,9999999,2024-01-23,IP Licensing,9656.05,INR,Pending,APAC
97,11,2021-05-22,IP Licensing,94213.86,INR,Pending,APAC
98,11,2021-12-20,Tools,364328.2,INR,Pending,Global
99,11,2024-10-23,Tools,361200.01,INR,Completed,APAC
100,11,2024-11-09,IP Licensing,65906.28,INR,Completed,APAC
101,11,2023-06-16,Consulting,106045.12,INR,Pending,APAC
102,12,2024-12-23,Training,290143.28,INR,Completed,APAC
103,12,2021-11-29,Tools,50405.27,INR,Cancelled,APAC
104,12,2024-05-24,Training,471770.8,INR,Pending,APAC
105,12,2024-11-21,Support,56603.11,INR,Pending,Unknown
106,12,2022-08-24,IP Licensing,481903.16,INR,Cancelled,APAC
107,12,2022-07-24,Consulting,454676.95,INR,Pending,APAC
108,12,2021-03-13,Tools,320310.89,INR,Completed,APAC
109,12,2021-09-11,Tools,202111.71,INR,Cancelled,APAC
110,12,2021-07-19,Tools,355047.3,INR,Completed,APAC
111,12,2022-10-31,Tools,355506.44,INR,Completed,APAC
112,9999999,2022-09-20,IP Licensing,259488.32,INR,Completed,APAC
113,12,2024-09-06,IP Licensing,428035.49,INR,Completed,APAC
114,12,2021-05-26,Support,292677.2,INR,Cancelled,APAC
115,12,2024-07-25,Tools,241529.59,INR,Completed,APAC
116,13,2022-01-14,Tools,279683.4,INR,Cancelled,APAC
117,13,2024-01-22,Consulting,471903.32,EUR,Pending,APAC
118,14,2022-05-02,Training,301822.82,INR,Completed,Global
119,14,2023-05-09,IP Licensing,104492.81,INR,Completed,APAC
120,14,2023-01-23,Training,370064.12,INR,Completed,APAC
121,14,2022-04-03,Tools,234333.28,INR,Cancelled,APAC
122,14,2022-07-14,IP Licensing,58194.56,USD,Pending,APAC
123,14,2021-01-08,Tools,68269.21,INR,Cancelled,APAC
124,14,2023-12-15,Support,300468.85,INR,Cancelled,APAC
125,14,2021-10-17,Tools,98851.55,INR,Completed,APAC
126,14,2021-11-11,Support,214704.46,INR,Pending,APAC
127,14,2023-09-11,IP Licensing,191780.48,INR,Cancelled,APAC
128,14,2021-02-11,Tools,303392.9,INR,Pending,APAC
129,14,2022-02-28,Support,243549.87,INR,Completed,APAC
130,15,2021-07-04,Consulting,448180.54,USD,Cancelled,
131,15,2022-09-26,Tools,200384.29,INR,Completed,
132,15,2022-12-10,Support,282530.56,EUR,Completed,
133,15,2022-02-19,Training,247827.71,USD,Completed,
134,15,2022-08-28,Consulting,92172.83,INR,Completed,
135,15,2023-10-23,IP Licensing,425115.26,INR,Completed,
136,15,2021-06-05,Training,180936.11,INR,Pending,
137,15,2022-04-23,Tools,200225.03,USD,Pending,
138,16,2023-02-01,Training,151995.9,USD,Completed,
139,17,2024-06-08,Training,43286.03,INR,Completed,
140,17,2024-01-17,Training,258864.22,INR,Pending,
141,17,2022-08-22,Training,297343.74,INR,Completed,
142,17,2024-03-26,Consulting,229208.53,EUR,Completed,Unknown
143,17,2024-08-22,Consulting,230398.98,INR,Cancelled,
144,17,2023-05-23,Consulting,90541.89,INR,Pending,
145,17,2024-02-14,Training,150953.06,USD,Cancelled,
146,17,2024-08-25,Consulting,397103.48,USD,Completed,
147,17,2023-01-27,IP Licensing,52110.78,INR,Cancelled,
148,17,2024-08-18,Tools,187925.7,INR,Completed,
149,18,2023-06-26,Support,381032.59,INR,Pending,
150,18,2022-06-28,IP Licensing,1233.4,USD,Completed,
151,18,2022-11-02,Support,97501.02,INR,Pending,
152,18,2023-09-22,Tools,293659.63,INR,Cancelled,
153,18,2024-02-21,Training,78153.18,USD,Cancelled,
154,18,2024-01-26,Training,191885.97,INR,Completed,
155,18,2022-12-06,Tools,327549.36,EUR,Cancelled,
156,18,2022-12-30,Tools,66516.53,INR,Cancelled,
157,19,2022-04-29,Support,476791.31,USD,Pending,
158,19,2024-05-12,Consulting,207450.13,INR,Cancelled,
159,19,2024-07-11,Training,445938.83,INR,Pending,
160,19,2021-09-05,IP Licensing,448270.91,EUR,Cancelled,
161,19,2022-07-24,Support,189607.9,INR,Cancelled,
162,19,2023-12-10,Tools,459425.01,EUR,Cancelled,
163,19,2024-07-17,IP Licensing,4587.84,INR,Pending,
164,19,2021-03-12,Training,203140.06,INR,Pending,
165,19,2022-10-31,IP Licensing,351253.08,EUR,Cancelled,
166,19,2023-07-24,IP Licensing,94762.84,INR,Completed,
167,19,2024-03-01,Consulting,268378.39,EUR,Cancelled,
168,19,2022-07-25,Tools,433485.73,INR,Cancelled,
169,19,2023-07-02,IP Licensing,24912.47,INR,Completed,
170,19,2021-09-19,Consulting,335093.84,INR,Cancelled,
171,19,2024-06-21,IP Licensing,80354.01,INR,Completed,
172,20,2022-02-13,Training,492165.3,INR,Cancelled,
173,20,2023-04-28,IP Licensing,394782.72,INR,Completed,
174,20,2024-05-01,Tools,181263.51,INR,Pending,
175,20,2023-09-27,Training,217744.88,EUR,Pending,
176,20,2024-07-14,Support,410705.66,INR,Cancelled,
177,20,2022-01-05,IP Licensing,299798.26,INR,Cancelled,
178,20,2024-12-25,Tools,82227.14,INR,Completed,
179,20,2022-12-27,Tools,61917.14,INR,Pending,
180,20,2022-12-26,Support,290090.19,INR,Pending,
181,20,2022-01-04,Training,323880.33,INR,Completed,
182,20,2024-04-16,Support,422194.35,EUR,Cancelled,
183,20,2021-08-02,Consulting,242625.26,INR,Cancelled,
184,20,2021-08-16,IP Licensing,370271.91,INR,Cancelled,
185,20,2022-05-06,Consulting,140497.23,INR,Cancelled,
186,20,2022-06-26,Consulting,70864.77,INR,Pending,
187,21,2022-01-04,Tools,346948.25,INR,Cancelled,EMEA
188,21,2024-08-16,Consulting,36015.83,INR,Completed,LATAM
189,21,2022-10-01,Training,374383.21,INR,Pending,LATAM
190,23,2023-07-31,IP Licensing,102710.34,INR,Cancelled,APAC
191,23,2021-06-04,Tools,321681.45,INR,Completed,APAC
192,23,2024-07-16,Support,64072.32,INR,Completed,APAC
193,23,2024-12-21,Tools,114121.64,INR,Pending,APAC
194,,2023-01-07,Consulting,316156.98,INR,Pending,APAC
195,24,2023-09-05,Support,499193.09,INR,Cancelled,Global
196,24,2023-06-16,IP Licensing,152838.46,USD,Completed,APAC
197,24,2022-02-25,Tools,434681.26,INR,Pending,APAC
198,24,2024-03-16,Consulting,301121.67,USD,Pending,APAC
199,25,2022-06-01,IP Licensing,313010.33,USD,Cancelled,
200,25,2024-10-24,IP Licensing,394590.61,USD,Pending,
201,25,2021-02-24,Consulting,220465.8,USD,Cancelled,
202,25,2021-10-10,Consulting,279852.98,USD,Completed,
203,25,2021-05-23,Tools,351190.84,USD,Completed,
204,25,2024-06-23,Consulting,201487.33,INR,Cancelled,
205,25,2021-09-22,Support,20259.44,INR,Pending,
206,25,2023-09-03,Training,330335.78,USD,Pending,
207,9999999,2023-08-14,Training,58732.99,INR,Pending,
208,25,2021-04-30,Consulting,312474.44,INR,Pending,ASIA
209,25,2022-02-18,IP Licensing,138983.3,INR,Completed,
210,25,2021-01-12,Tools,403319.17,INR,Completed,
211,25,2023-04-11,Consulting,377764.54,EUR,Completed,
212,25,2022-10-16,Support,484206.31,INR,Cancelled,Unknown
213,26,2021-07-05,IP Licensing,37587.97,INR,Cancelled,
214,26,2023-06-19,Support,43257.63,INR,Cancelled,
215,27,2024-07-12,Training,446894.85,EUR,Completed,APAC
216,27,2023-03-28,IP Licensing,177191.45,INR,Completed,APAC
217,27,2024-06-16,Tools,218552.62,USD,Completed,APAC
218,27,2022-01-21,Tools,276798.12,USD,Cancelled,APAC
219,27,2023-04-30,Training,462602.4,INR,Pending,APAC
220,27,2022-08-21,Training,313534.29,INR,Completed,APAC
221,27,2024-07-30,Support,495042.16,INR,Pending,APAC
222,28,2024-12-13,Support,385077.22,INR,Completed,
223,28,2022-03-05,Support,395890.3,USD,Pending,
224,28,2024-08-27,Training,7982.44,INR,Cancelled,
225,28,2021-12-20,Training,1350.74,INR,Completed,
226,28,2021-03-08,Support,469663.13,INR,Pending,
227,28,2024-12-13,Support,391384.3,USD,Cancelled,ASIA
228,28,2024-12-10,Tools,30933.56,INR,Cancelled,
229,28,2021-01-20,IP Licensing,169239.85,INR,Completed,
230,28,2023-05-25,Support,195697.69,EUR,Cancelled,
231,28,2024-05-06,Support,112694.88,USD,Pending,
232,28,2021-01-03,Training,314972.44,INR,Completed,
233,28,2022-01-12,Consulting,51982.2,INR,Completed,
234,28,2023-07-29,Tools,202982.97,INR,Pending,
235,28,2022-03-15,Consulting,337298.46,INR,Pending,
236,29,2022-01-10,IP Licensing,180843.07,INR,Cancelled,APAC
237,29,2022-04-25,Training,117666.28,INR,Completed,APAC
238,29,2022-08-09,Support,158319.19,INR,Cancelled,ASIA
239,29,2024-09-09,Tools,431341.57,INR,Pending,APAC
240,29,2022-07-09,Consulting,82808.83,INR,Cancelled,APAC
241,29,2021-06-29,Training,43702.05,INR,Completed,APAC
242,29,2021-09-19,Support,359624.92,INR,Pending,APAC
243,29,2023-07-31,Tools,393792.57,INR,Completed,APAC
244,29,2022-01-21,Consulting,443322.5,EUR,Cancelled,APAC
245,29,2024-11-21,Support,230875.6,INR,Completed,APAC
246,29,2023-07-29,IP Licensing,451920.81,INR,Cancelled,APAC
247,30,2023-03-21,Training,50575.28,INR,Pending,APAC
248,30,2021-08-26,Consulting,80217.77,USD,Cancelled,APAC
249,30,2021-03-15,Training,224932.76,INR,Cancelled,Unknown
250,30,2023-08-27,Support,430429.67,INR,Completed,APAC
251,30,2024-01-27,Tools,250987.68,INR,Completed,APAC
252,30,2023-11-16,IP Licensing,147831.34,INR,Cancelled,APAC
253,9999999,2022-05-25,Support,99877.98,INR,Pending,Unknown
254,30,2021-07-09,Tools,174798.18,INR,Completed,APAC
255,30,2024-08-16,IP Licensing,482038.39,INR,Pending,APAC
256,30,2022-12-27,Consulting,492377.38,EUR,Cancelled,APAC
257,30,2022-12-05,Support,31328.99,USD,Pending,APAC
258,30,2023-12-28,IP Licensing,288599.76,INR,Completed,APAC
259,30,2023-06-12,Support,87857.28,USD,Cancelled,APAC
260,30,2024-09-24,Tools,302633.87,USD,Completed,ASIA
261,30,2022-05-14,Consulting,40062.17,USD,Pending,APAC
262,31,2023-01-17,IP Licensing,148249.49,INR,Completed,
263,32,2021-07-24,Support,230205.09,INR,Pending,
264,32,2022-05-06,Training,75461.17,INR,Pending,
265,32,2023-02-21,Consulting,334265.89,INR,Pending,
266,32,2024-10-28,Training,388107.28,INR,Pending,
267,32,2021-03-16,IP Licensing,8613.05,USD,Pending,
268,33,2023-10-03,IP Licensing,264519.75,INR,Cancelled,APAC
269,33,2022-02-25,Support,71291.25,INR,Completed,APAC
270,33,2023-05-25,Tools,432690.61,EUR,Completed,APAC
271,33,2021-07-21,IP Licensing,383975.4,INR,Pending,APAC
272,33,2023-05-14,Support,380492.81,USD,Cancelled,APAC
273,33,2023-12-13,Consulting,481860.82,EUR,Completed,APAC
274,33,2022-11-07,Tools,319043.54,INR,Cancelled,APAC
275,33,2022-03-06,Support,497348.95,USD,Pending,APAC
276,33,2024-06-08,Training,442830.9,EUR,Cancelled,APAC
277,33,2021-08-02,IP Licensing,225509.09,INR,Pending,APAC
278,33,2021-01-06,Consulting,414627.1,INR,Cancelled,APAC
279,34,2024-05-25,Support,107056.01,USD,Cancelled,
280,34,2024-09-05,Tools,159944.06,USD,Pending,Unknown
281,34,2023-07-10,Consulting,395056.45,USD,Completed,
282,34,2021-10-16,Consulting,94911.85,INR,Cancelled,
283,34,2023-06-01,Support,291426.15,INR,Completed,
284,34,2023-04-16,Training,268496.18,INR,Pending,Global
285,35,2021-05-10,Tools,165829.2,INR,Completed,
286,35,2022-02-02,IP Licensing,402240.31,INR,Cancelled,Global
287,35,2023-06-24,Tools,364006.89,INR,Pending,
288,35,2021-02-08,Training,465380.0,INR,Cancelled,
289,35,2023-10-14,IP Licensing,120542.66,INR,Completed,
290,35,2021-04-01,IP Licensing,153353.12,USD,Completed,
291,35,2021-11-13,Support,325490.54,USD,Cancelled,
292,35,2023-08-27,Tools,129096.69,INR,Completed,
293,35,2024-07-19,Training,142885.84,INR,Completed,
294,35,2023-02-04,Support,117865.61,USD,Cancelled,
295,35,2021-02-02,Tools,45514.94,INR,Cancelled,
296,35,2023-02-27,IP Licensing,413432.51,INR,Completed,
297,9999999,2022-04-05,IP Licensing,27688.66,INR,Completed,
298,35,2024-09-06,Consulting,121891.29,INR,Cancelled,
299,35,2022-12-24,IP Licensing,275559.43,INR,Completed,ASIA
300,,2021-02-24,Consulting,14806.69,INR,Cancelled,APAC
301,36,2023-08-16,IP Licensing,410515.46,INR,Completed,APAC
302,36,2023-06-14,Support,149291.5,INR,Pending,APAC
303,36,2023-12-15,Consulting,480750.94,INR,Cancelled,APAC
304,36,2022-01-14,IP Licensing,459261.19,INR,Cancelled,APAC
305,36,2023-01-08,Tools,63019.81,USD,Cancelled,APAC
306,36,2022-06-25,Tools,391485.45,INR,Pending,APAC
307,37,2021-08-28,Support,269408.0,INR,Cancelled,
308,37,2024-04-30,Support,202245.41,INR,Cancelled,
309,37,2022-05-16,IP Licensing,91406.35,INR,Completed,
310,37,2022-01-03,IP Licensing,176171.75,INR,Pending,
311,37,2021-10-26,Consulting,419489.57,INR,Cancelled,
312,37,2023-02-21,Tools,1233.89,INR,Cancelled,
313,37,2021-11-30,Training,40618.64,INR,Pending,
314,37,2023-03-30,Training,105132.13,EUR,Completed,
315,37,2022-01-16,Support,338361.03,EUR,Completed,
316,37,2021-03-15,Consulting,175351.71,EUR,Completed,
317,38,2021-03-07,Consulting,445829.54,INR,Pending,
318,38,2021-09-15,Training,190013.2,INR,Cancelled,LATAM
319,38,2023-03-27,IP Licensing,296486.49,INR,Cancelled,LATAM
320,38,2021-05-25,Training,460785.05,INR,Completed,LATAM
321,38,2021-09-08,Consulting,397564.24,INR,Cancelled,APAC
322,38,2021-05-04,Training,83369.61,INR,Cancelled,EMEA
323,38,2023-11-06,Training,406826.92,USD,Pending,EMEA
324,39,2024-05-20,Consulting,178530.58,EUR,Pending,EMEA
325,39,2022-09-10,Support,440152.1,USD,Pending,EMEA
326,40,2024-11-06,Support,57985.0,USD,Cancelled,APAC
327,40,2024-04-22,Tools,442363.05,INR,Pending,APAC
328,40,2024-02-20,Consulting,175552.68,INR,Pending,APAC
329,40,2021-03-27,IP Licensing,267621.44,INR,Pending,APAC
330,40,2023-01-15,IP Licensing,401955.74,INR,Cancelled,APAC
331,40,2024-03-04,Support,494492.91,INR,Completed,APAC
332,41,2022-12-25,Consulting,286912.48,INR,Pending,APAC
333,41,2023-04-18,IP Licensing,408734.59,INR,Cancelled,APAC
334,41,2023-08-06,Consulting,169967.82,INR,Completed,Global
335,41,2023-10-10,Tools,355603.21,EUR,Cancelled,APAC
336,41,2022-09-30,Consulting,10248.91,INR,Completed,APAC
337,41,2024-02-22,IP Licensing,329157.75,INR,Pending,APAC
338,41,2021-04-07,Consulting,11245.72,INR,Completed,APAC
339,41,2023-11-03,Training,55518.79,INR,Pending,APAC
340,41,2023-07-27,Support,195712.21,INR,Pending,APAC
341,41,2023-02-05,Consulting,433856.09,INR,Completed,APAC
342,41,2022-01-17,Tools,112149.91,INR,Cancelled,APAC
343,41,2023-10-30,IP Licensing,5020.47,INR,Pending,APAC
344,42,2024-04-17,IP Licensing,406354.91,INR,Cancelled,APAC
345,42,2022-04-30,Support,274564.49,INR,Cancelled,ASIA
346,9999999,2023-08-27,Training,408592.01,INR,Cancelled,APAC
347,42,2022-04-19,Support,244327.24,INR,Completed,APAC
348,42,2023-09-15,Consulting,149613.46,INR,Cancelled,APAC
349,42,2021-05-09,Support,218065.51,USD,Cancelled,APAC
350,43,2022-11-12,Tools,430606.13,INR,Cancelled,
351,43,2021-08-07,Training,324276.48,INR,Cancelled,
352,43,2024-05-12,Support,429193.35,INR,Completed,
353,43,2024-05-26,Tools,403242.52,INR,Cancelled,
354,43,2022-09-06,IP Licensing,312765.67,INR,Completed,
355,43,2022-12-21,Consulting,201589.19,INR,Completed,
356,43,2024-11-16,IP Licensing,363314.26,INR,Completed,
357,44,2022-02-02,Tools,26656.71,INR,Pending,ASIA
358,44,2021-12-13,Consulting,321849.17,INR,Completed,ASIA
359,44,2021-12-21,Consulting,379216.43,USD,Cancelled,
360,44,2024-06-01,Training,392286.42,INR,Cancelled,
361,44,2024-04-28,IP Licensing,118712.64,USD,Completed,
362,44,2021-09-29,Tools,315824.33,EUR,Cancelled,
363,44,2021-08-21,Training,29153.56,USD,Cancelled,
364,45,2023-06-19,Training,145883.49,INR,Cancelled,EMEA
365,45,2024-08-02,Training,70058.92,INR,Cancelled,EMEA
366,45,2023-07-29,Support,305370.74,INR,Cancelled,EMEA
367,45,2021-02-07,Training,389330.51,EUR,Cancelled,EMEA
368,45,2024-03-27,Consulting,77954.21,EUR,Pending,EMEA
369,45,2024-03-11,IP Licensing,198363.15,INR,Cancelled,EMEA
370,45,2023-12-02,IP Licensing,102981.94,USD,Cancelled,EMEA
371,45,2023-05-26,IP Licensing,176784.58,EUR,Completed,EMEA
372,47,2022-12-11,Training,351977.6,INR,Completed,
373,47,2024-05-11,Training,210571.85,INR,Pending,
374,47,2021-11-03,Tools,384838.84,EUR,Cancelled,
375,47,2024-07-28,Tools,239803.82,INR,Cancelled,
376,47,2023-05-31,IP Licensing,5486.78,INR,Cancelled,
377,47,2024-01-20,Training,35240.27,USD,Completed,
378,47,2021-04-17,Training,291494.22,INR,Pending,
379,48,2021-07-26,Tools,117647.2,USD,Pending,
380,48,2023-01-18,IP Licensing,130296.58,EUR,Pending,
381,48,2024-01-13,IP Licensing,106920.5,INR,Pending,ASIA
382,,2023-08-16,IP Licensing,235704.26,INR,Cancelled,
383,48,2021-01-09,Training,95242.78,INR,Pending,
384,48,2022-02-15,Support,265173.43,USD,Cancelled,
385,48,2024-06-15,IP Licensing,411956.15,INR,Completed,
386,48,2024-08-08,Training,178092.94,USD,Completed,
387,48,2024-01-27,Consulting,333236.9,INR,Pending,
388,48,2021-12-13,IP Licensing,47755.41,EUR,Pending,
389,48,2022-01-02,Consulting,224157.32,INR,Completed,
390,48,2021-03-12,IP Licensing,59235.53,INR,Cancelled,
391,48,2022-08-12,Support,26904.26,INR,Completed,
392,49,2023-07-04,Tools,90929.96,EUR,Pending,EMEA
393,49,2022-09-02,Training,250876.34,USD,Completed,EMEA
394,49,2023-04-29,IP Licensing,106812.75,INR,Pending,EMEA
395,49,2024-11-02,Tools,18510.02,USD,Completed,EMEA
396,49,2022-05-17,Tools,359442.94,INR,Completed,EMEA
397,49,2021-08-08,Training,50305.65,INR,Cancelled,EMEA
398,49,2023-09-01,Training,72408.33,INR,Completed,EMEA
399,49,2024-08-30,Training,316322.0,INR,Completed,EMEA
400,49,2024-02-23,Consulting,452372.85,INR,Cancelled,EMEA
401,50,2023-04-01,Support,346572.94,INR,Completed,
402,50,2022-10-09,Training,413260.21,INR,Completed,
403,50,2022-02-03,Support,218800.6,INR,Pending,
404,50,2023-11-25,Support,123709.09,INR,Completed,
405,50,2022-02-15,IP Licensing,13970.57,INR,Cancelled,
406,50,2023-05-05,IP Licensing,355512.05,INR,Cancelled,
407,50,2023-02-25,Consulting,391330.64,INR,Pending,
408,50,2024-04-19,IP Licensing,307264.35,INR,Pending,Global
409,50,2021-06-23,Training,365462.06,INR,Completed,
410,,2021-12-09,Tools,20384.56,INR,Cancelled,
411,51,2023-07-08,Consulting,290142.89,EUR,Completed,
412,51,2022-04-22,IP Licensing,52157.24,USD,Cancelled,
413,51,2021-07-05,IP Licensing,48165.4,USD,Cancelled,
414,51,2022-03-09,Training,112846.66,INR,Pending,Global
415,51,2023-12-10,IP Licensing,313130.09,EUR,Cancelled,
416,51,2021-09-04,IP Licensing,131719.11,INR,Pending,
417,51,2024-06-29,Training,411164.04,INR,Cancelled,
418,51,2022-12-11,Training,478339.14,INR,Cancelled,Global
419,51,2022-02-08,IP Licensing,24900.46,INR,Completed,
420,51,2021-10-18,Support,448992.58,INR,Pending,
421,51,2024-10-26,Consulting,374393.45,INR,Cancelled,
422,51,2024-07-10,Consulting,29650.35,INR,Completed,
423,52,2024-04-19,Training,4783.85,EUR,Cancelled,EMEA
424,52,2023-07-28,Tools,310709.88,EUR,Pending,APAC
425,52,2021-03-27,IP Licensing,184202.18,USD,Cancelled,
426,52,2021-11-24,IP Licensing,435128.43,INR,Cancelled,EMEA
427,52,2022-08-26,Consulting,242704.08,INR,Cancelled,APAC
428,52,2023-11-17,IP Licensing,221832.6,USD,Completed,EMEA
429,52,2024-05-22,Support,497439.02,INR,Pending,APAC
430,52,2022-06-29,Support,301358.84,INR,Pending,APAC
431,52,2024-08-22,IP Licensing,496190.41,INR,Cancelled,Unknown
432,52,2024-06-10,Training,33528.6,INR,Completed,EMEA
433,53,2024-10-03,Tools,165229.86,INR,Pending,
434,53,2024-12-31,Tools,379491.36,INR,Completed,
435,53,2024-11-17,Tools,424717.21,INR,Pending,
436,53,2021-10-30,IP Licensing,274702.16,EUR,Completed,
437,53,2024-12-15,Consulting,82205.4,INR,Cancelled,
438,54,2023-02-12,Training,320961.46,INR,Cancelled,
439,55,2023-06-05,Tools,243200.73,USD,Cancelled,ASIA
440,55,2023-04-11,Tools,302696.51,INR,Completed,
441,55,2023-10-11,Support,239862.24,USD,Pending,
442,55,2023-01-26,Training,408778.4,USD,Cancelled,
443,55,2024-10-18,Consulting,159924.3,USD,Pending,
444,55,2023-04-14,IP Licensing,44981.23,INR,Pending,
445,56,2021-09-13,Consulting,170256.59,USD,Completed,APAC
446,56,2022-09-10,IP Licensing,198632.6,INR,Cancelled,APAC
447,56,2022-09-10,Support,355498.69,USD,Pending,APAC
448,56,2024-01-20,Tools,217109.22,INR,Completed,APAC
449,56,2022-08-01,Training,456708.58,USD,Cancelled,APAC
