customer_id,customer_name,country,state,city,industry,account_status,tax_id,email,phone,created_date,last_updated_date,owner_id
52,Carter Inc,Japan,Illinois,West Sarahhaven,Finance,Inactive,TAX320392,ihays@king-mullins.com,950-954-1566x7652,2023-05-31,2024-03-22,78
53,Glass-Stone,United States,Colorado,Millerburgh,Healthcare,Inactive,TAX563638,manuel15@phillips.com,001-775-470-5964x016,2024-10-15,2024-12-31,66
54,Thomas PLC,United States,Utah,Johnsonland,Retail,Active,TAX790855,kimberlydiaz@herring-johnson.com,+1-375-257-1928x56543,2021-06-23,2021-11-15,66
55,"Lopez, Holmes and Mcintyre",United States,Delaware,Kimberlymouth,Manufacturing,Inactive,TAX197923,wendymitchell@gonzalez-taylor.com,427.715.5188x442,2022-04-27,2023-04-06,40
56,"Walker, Galloway and Conner",India,Kansas,Johnsonside,Software,Active,TAX125611,tanner82@henson.info,466.491.2517x78528,2021-04-05,2021-08-08,61
57,Shaw-Oneill,United States,Delaware,West Fred,Semiconductors,Inactive,TAX534572,sarah35@jacobson.net,724-298-1829x922,2024-07-13,2024-12-31,25
58,Miller Ltd,Germany,Wyoming,Debrashire,Healthcare,Inactive,TAX519066,bmontgomery@small-gardner.com,736.447.1027x6773,2022-05-15,2022-07-29,1
59,Hensley-Flores,Japan,Minnesota,Andersonstad,Semiconductors,Inactive,TAX329471,floressteven@cole-thomas.com,969-963-2595x3278,2021-12-27,2022-12-18,67
60,Jimenez-Davis,United States,Montana,Levyborough,Manufacturing,Active,TAX989545,brandon47@khan.net,8162245650,2021-09-06,2022-04-27,18
61,"Hoffman, Cox and Roberts",Japan,Missouri,Duranview,Retail,Prospect,TAX686075,andersoncolin@norton-morgan.com,001-923-498-6800x02578,2024-05-04,2024-10-13,57
62,"Barry, Taylor and Velazquez",United States,Massachusetts,South Vicki,Retail,Prospect,TAX547470,brittney88@burns.com,(551)269-4097x499,2024-01-28,2024-09-12,21
63,"Castillo, Warren and Griffith",Germany,Wyoming,Hernandezbury,Healthcare,Inactive,TAX371782,armstrongjackie@smith.biz,(563)768-9702,2022-05-22,2023-04-13,36
64,"Mendoza, Bennett and Frye",Germany,New Jersey,Amyview,Manufacturing,Inactive,TAX757193,plee@grant-walker.com,001-843-775-7584x41986,2022-05-05,2022-09-22,57
65,Roberts LLC,India,Virginia,West Sandraview,Finance,Active,TAX384913,ilewis@fitzpatrick-horton.com,299-333-0833,2022-11-19,2023-05-01,70
66,Rivera-Kennedy,India,Utah,North Tamara,Software,Active,TAX501641,richarddonovan@woods-gonzalez.com,440-619-3802x62067,2024-11-22,2024-12-31,28
67,Smith PLC,India,Rhode Island,West Justinside,Healthcare,Inactive,TAX668969,ismall@mcdonald.com,001-774-320-5493x2966,2023-08-13,2024-03-12,8
68,Caldwell-Lopez,India,Florida,Morrisbury,Healthcare,Inactive,TAX907189,greenjoe@finley-turner.org,8456301742,2024-04-11,2024-12-31,3
69,"Wilson, Hendricks and Phillips",Japan,South Carolina,East Susan,Manufacturing,Inactive,TAX600149,vhernandez@brooks.net,+1-533-491-8785x19108,2021-01-13,2021-07-12,39
70,Murphy PLC,Germany,New Hampshire,Lake Jamieshire,Healthcare,Prospect,TAX883826,gdavis@stokes-chavez.net,(279)808-7406x40391,2024-01-24,2024-11-27,29
71,Graves-Weaver,United States,Arkansas,South Anthonychester,Finance,Inactive,TAX609232,kaylacannon@brewer.biz,466.518.2512x868,2021-03-01,2021-09-16,44
72,Avila LLC,United States,New Jersey,Patelbury,Healthcare,Prospect,TAX273061,stevenmoore@pineda.com,2699033119,2023-08-16,2023-10-20,80
73,"Powers, Brennan and Sanchez",United States,Arizona,Gonzalesside,Healthcare,Prospect,TAX691807,karenparsons@gordon.com,001-695-299-5342x8364,2024-09-19,2024-10-02,11
74,"Fry, Hobbs and Buck",United States,South Dakota,Peterston,Software,Inactive,TAX290556,shelly68@horton-russell.com,(428)873-3427x0866,2021-04-13,2021-08-24,49
75,Scott LLC,India,Tennessee,South Melanieland,Healthcare,Inactive,TAX453894,brettbennett@morrison.org,001-583-873-5403x3173,2023-02-16,2023-07-08,54
76,Arnold LLC,India,Missouri,Fergusonstad,Semiconductors,Inactive,TAX120324,jose87@garcia-zavala.info,001-853-655-6093x20489,2024-01-10,2024-02-05,45
77,Gonzalez and Sons,India,Missouri,South Andrea,Semiconductors,Prospect,TAX142213,jonathan77@jackson-norton.com,(287)228-0801,2021-03-05,2021-07-09,26
78,Taylor-Mccoy,Japan,California,North Jeffery,Manufacturing,Active,TAX350132,nbrooks@estrada.info,6082860084,2021-09-16,2022-05-16,15
79,"Li, Craig and Drake",United States,Idaho,North Alicebury,Software,Inactive,TAX833442,christineking@adams-sanders.com,(979)233-4101x6668,2022-06-09,2022-12-14,22
80,"Smith, Jackson and Porter",United States,Nevada,Arielville,Retail,Prospect,TAX220096,hallrachel@clay.com,+1-448-590-2503x92614,2021-12-02,2022-05-10,14
81,"Davenport, Price and Mosley",United States,Michigan,Camposberg,Finance,Prospect,TAX810250,masonterri@davis.com,899-496-5047x73586,2023-02-08,2023-08-30,26
82,"Willis, James and Barton",India,Maine,Lake Charles,Retail,Prospect,TAX354646,eric26@ward-davis.com,854.312.1267x888,2021-07-28,2022-07-19,39
83,Davis PLC,Japan,Colorado,Michelletown,Manufacturing,Active,TAX934904,robert18@armstrong.biz,(824)644-7212,2024-03-05,2024-03-26,45
84,Evans-Patton,United States,Mississippi,Sherylfort,Retail,Inactive,TAX172306,stephentaylor@rush.org,(457)856-9245x9375,2023-11-03,2024-09-29,44
85,Carter-Neal,India,New York,West Nicholas,Healthcare,Inactive,TAX210665,kdiaz@vargas.com,+1-480-873-7416x72434,2023-06-07,2023-12-09,59
86,Jones-Ewing,Germany,New Mexico,Fergusonchester,Healthcare,Active,TAX869440,gibbsmichael@wheeler.com,+1-552-990-9656x10143,2023-12-05,2024-11-02,35
87,Myers-Barton,United States,Pennsylvania,West Whitney,Manufacturing,Inactive,TAX587455,agarcia@wilson.com,(745)373-8757x177,2023-06-12,2024-04-10,35
88,Williams-Page,India,Alaska,Deborahburgh,Software,Active,TAX392477,zacharyarnold@castro-mullen.com,(522)566-0937x9660,2023-07-13,2023-11-14,60
89,Goodwin-Stokes,United States,California,Port Monicaburgh,Retail,Inactive,TAX452737,mark71@lambert-burns.com,+1-369-469-1557x924,2021-02-28,2021-11-08,42
90,Wilson-Torres,India,Idaho,Heatherhaven,Software,Inactive,TAX936587,ibarnes@reyes.com,+1-227-742-2579,2022-06-14,2022-12-05,36
91,Washington and Sons,Japan,Missouri,Ortizfort,Retail,Inactive,TAX682789,cmckinney@jackson-cunningham.com,304-638-4279x7881,2021-01-21,2021-10-12,25
92,"Morrow, Richardson and Carson",India,Arizona,Paynechester,Retail,Inactive,TAX612311,fitzgeralddesiree@evans.info,451-571-3395x962,2024-02-12,2024-06-14,61
93,Trujillo PLC,United States,Minnesota,Candiceburgh,Healthcare,Inactive,TAX931450,tiffany44@adams.com,(560)842-2325,2021-02-05,2021-03-24,38
94,Thomas-Chen,India,South Dakota,Brooksland,Retail,Active,TAX421080,powellkara@mayer.com,001-801-575-1863,2024-09-21,2024-12-31,48
95,Adams-Clayton,United States,Michigan,New Melissa,Manufacturing,Inactive,TAX546173,patricia00@sims.com,427-670-6324,2024-02-02,2024-07-20,46
96,Pena LLC,Germany,Colorado,Elizabethburgh,Finance,Inactive,TAX363615,sanderskevin@fischer.com,2372129387,2022-04-18,2022-06-18,25
97,"Cooper, Martinez and Dalton",India,Vermont,South Chad,Retail,Prospect,TAX899213,zdavis@garcia.com,(462)921-8909,2024-11-14,2024-12-31,25
98,Bowen-Fuller,India,Georgia,Jensenmouth,Healthcare,Inactive,TAX859782,christophergarcia@lawrence.com,(552)534-1389x99404,2024-04-22,2024-12-31,77
99,"Myers, Lucas and Bowers",India,Kansas,Cruzbury,Semiconductors,Active,TAX410636,elittle@oneal.com,(269)365-8271,2022-04-11,2022-10-12,23
100,Baker Inc,India,Arkansas,Hunterhaven,Retail,Prospect,TAX232731,zhenderson@davidson.org,(741)841-8328,2022-07-16,2022-08-08,7
101,"Walters, Davenport and Becker",United States,California,Hollybury,Retail,Active,TAX768854,sanchezsandy@chavez.com,721-402-0275x8842,2023-10-03,2023-11-24,2
102,"Norman, Adams and Tanner",United States,Wyoming,West Lindsayview,Healthcare,Inactive,TAX561865,bakertheresa@jones.info,001-225-224-1913,2022-11-29,2023-03-03,7
103,Sanchez Group,India,Mississippi,Moraburgh,Healthcare,Active,TAX962050,tranrobin@rios.com,319-951-8023x806,2021-05-14,2021-12-05,63
104,Ayala-Collins,India,Colorado,Smithborough,Retail,Prospect,TAX156213,anne49@marshall.info,001-838-632-0603x85050,2021-11-07,2022-01-22,73
105,Harris and Sons,Canada,Nebraska,Woodwardberg,Semiconductors,Active,TAX224205,christopher38@haynes-watson.com,001-818-426-1990,2024-02-17,2024-09-17,78
106,Carter LLC,United States,Montana,Louisview,Manufacturing,Active,TAX913373,charlesharris@rodriguez.com,(218)553-7474x11249,2023-12-07,2024-06-18,58
107,Hernandez-Dawson,Canada,Minnesota,Palmerport,Finance,Prospect,TAX549660,lori20@bond-hawkins.net,417.512.1003,2022-09-18,2023-07-06,80
108,Watson-Mccoy,India,Tennessee,New Brendaland,Retail,Active,TAX899787,osbornjames@ramos.com,207-802-9667,2022-03-02,2023-01-16,28
109,"Simmons, Gomez and Odonnell",India,Louisiana,Seanberg,Semiconductors,Active,TAX351516,mendezchristina@phillips.com,246-826-3838,2021-12-22,2022-09-30,10
110,"Howard, Stephens and Washington",India,Oregon,Paulburgh,Healthcare,Inactive,TAX822858,floresjeffery@brown-frey.net,(893)721-3348x039,2024-05-01,2024-12-27,38
111,Thompson PLC,India,Massachusetts,Robintown,Finance,Prospect,TAX396451,stacey92@vaughan.info,+1-542-270-1039,2024-12-10,2024-12-31,10
112,"Woods, Rivera and Mendez",United States,Florida,Jennifermouth,Finance,Prospect,TAX718439,johnsonbrenda@schroeder.com,456-891-5452,2024-09-16,2024-12-26,55
113,"Yu, Banks and Thompson",India,Oklahoma,Jeffreyshire,Software,Prospect,TAX256226,nicholasgross@anderson-daniel.org,(390)529-5939x1725,2022-06-29,2022-09-09,10
114,Haas-Jackson,India,Colorado,Seanview,Finance,Prospect,TAX885339,johnjones@buchanan-le.com,(576)426-7658x6179,2024-03-11,2024-08-05,57
115,Jones-Singleton,India,Maine,West Joseville,Retail,Inactive,TAX833723,petersonpamela@dennis.com,599-870-6296x20153,2023-04-05,2023-08-22,65
116,"Spencer, Frost and Fernandez",United States,Texas,Kennethville,Healthcare,Active,TAX727086,longandrea@hernandez-ward.biz,649-373-1032,2021-03-23,2021-10-30,42
117,Anthony-Parker,United States,Montana,Burnsview,Semiconductors,Active,TAX340044,maypaul@mcclure-wood.info,4473743490,2024-10-12,2024-12-31,76
118,Barnett PLC,Canada,Nebraska,New Bruce,Retail,Inactive,TAX704238,acardenas@mcdaniel.com,441.460.8989x9217,2021-03-24,2021-06-21,61
119,Stokes and Sons,United States,Arizona,Millerchester,Healthcare,Inactive,TAX290305,wendyburton@scott.com,268-868-5487,2024-04-13,2024-11-22,63
120,Perry and Sons,Canada,Oregon,North Annaville,Healthcare,Inactive,TAX528184,mikayla56@reyes-washington.org,202.946.2996x0653,2022-11-14,2023-04-27,14
121,Prince-Smith,Japan,Maryland,Juanfort,Finance,Inactive,TAX827369,comptonjeremy@mccann-ramos.com,469-313-7367x850,2023-10-12,2024-03-07,52
122,Mckinney-Powell,Japan,Wyoming,East Jamesborough,Manufacturing,Active,TAX576919,wrightstephen@bush-hill.info,761.403.5797x27985,2021-06-30,2021-12-08,33
123,Curry-Barker,India,Maine,South Brandonshire,Healthcare,Prospect,TAX964998,mercedesholland@clark.com,922.690.3494x4665,2021-01-03,2021-12-05,70
124,Owens Ltd,United States,North Dakota,Silvatown,Semiconductors,Active,TAX643623,anna99@evans-rodriguez.com,445-244-4328x30965,2023-01-11,2023-11-25,64
125,"Jimenez, Phillips and Meadows",United States,Montana,Doyleshire,Semiconductors,Active,TAX380028,matthewreeves@nichols.com,542.782.4172x48251,2024-01-30,2024-04-06,37
126,Garner LLC,United States,Nebraska,Nathanshire,Retail,Inactive,TAX227324,steven17@delacruz.org,+1-417-538-1684x602,2021-03-01,2022-01-17,78
127,Ortiz-Hudson,Germany,New Jersey,West Michelle,Retail,Active,TAX425845,kimberlyfreeman@hatfield.info,832-992-7129x666,2024-02-03,2024-02-10,71
128,Smith-Ferguson,United States,Washington,Stephaniemouth,Software,Active,TAX583863,andrewsmith@wright.com,668-994-2104,2021-08-29,2022-07-26,20
129,"Meyer, Warren and Hamilton",United States,Utah,West Wendy,Retail,Inactive,TAX633590,mhoward@vaughan.com,732.230.9821,2024-12-15,2024-12-31,54
130,Mcdowell-Scott,Japan,Ohio,New Virginiaville,Healthcare,Active,TAX578975,williamsdarrell@james-kelley.info,001-823-304-6184x992,2024-02-03,2024-04-17,50
131,"Higgins, Wilson and Wilson",India,Connecticut,Gonzalezborough,Manufacturing,Prospect,TAX882544,marie35@ortiz.com,001-375-330-0119x721,2021-10-07,2021-11-11,36
132,Newman-Bryant,Germany,Maine,Stevenville,Healthcare,Inactive,TAX925981,morganphelps@solis-edwards.com,600-322-5579,2023-11-06,2024-03-21,1
133,Briggs-White,India,Montana,Riversview,Finance,Prospect,TAX708093,evaughn@banks-robles.com,(402)816-9797,2024-09-13,2024-12-31,20
134,Carr-Huffman,United States,Washington,South Samantha,Healthcare,Inactive,TAX448588,clayscott@green.com,001-989-793-5889x163,2024-02-05,2024-11-09,49
135,"Rhodes, Cruz and Combs",United States,Oklahoma,North Dawnburgh,Finance,Active,TAX831380,kchristian@walton.com,340-983-8663x17797,2022-05-05,2023-02-21,50
136,Stewart-Hooper,India,West Virginia,North Richardton,Healthcare,Active,TAX433632,petersenlatoya@walsh.info,550-237-5899x75711,2023-08-27,2024-08-22,49
137,Kelly-Schultz,India,Maine,Jacquelineton,Retail,Prospect,TAX259493,travisunderwood@griffith.com,363-973-5160,2023-10-12,2023-10-30,17
138,Barrett-Blanchard,United States,Florida,Smithton,Manufacturing,Inactive,TAX205239,eroberson@norman.com,001-821-769-9586x6934,2023-06-21,2023-08-11,68
139,Chavez-Anderson,Canada,Nebraska,Meganside,Semiconductors,Prospect,TAX251157,jennifer83@clark.com,+1-652-828-8515x87996,2023-04-20,2024-03-20,20
140,Mills Inc,India,Missouri,North Ellen,Finance,Inactive,TAX753534,josephfloyd@vega-thomas.com,001-843-580-5719x838,2024-11-19,2024-12-31,11
141,"Mueller, Lindsey and Roberts",Japan,Texas,South Paulmouth,Retail,Prospect,TAX498468,smithjohn@melton.com,+1-359-889-3347x2122,2022-10-11,2023-08-27,63
142,Patterson PLC,Japan,Kentucky,East Brandy,Semiconductors,Prospect,TAX171744,adam72@hernandez.org,5944798515,2022-04-26,2023-03-15,37
143,"Jones, Wagner and Perry",Canada,Ohio,Davisbury,Retail,Active,TAX555052,elizabethrivera@robinson-goodwin.net,380.815.7399x3056,2021-07-21,2022-06-10,13
144,Fernandez-Campbell,United States,North Dakota,Williehaven,Retail,Inactive,TAX130353,stucker@lee.com,001-288-901-3361x38612,2021-04-05,2021-09-18,8
145,"Rivera, Miller and Brown",India,Kentucky,New Lorraineview,Finance,Inactive,TAX252640,ohughes@hamilton-smith.com,+1-309-619-0158,2022-05-16,2023-02-11,53
146,"Turner, Miller and Hubbard",United States,New Hampshire,Fostertown,Software,Active,TAX283573,omoore@francis.com,+1-824-350-8821x0099,2021-06-11,2022-04-19,49
147,Clark-Figueroa,United States,Washington,Jasonhaven,Software,Inactive,TAX711484,eugenewalker@lee-white.org,5879814141,2021-10-21,2022-02-16,60
148,Howard-Lambert,United States,Kansas,West Christineborough,Healthcare,Inactive,TAX799233,todd59@torres.com,962-705-3364x52577,2021-01-20,2021-09-15,37
149,Tucker-Rodriguez,United States,Tennessee,Port Juanberg,Software,Active,TAX563187,josemercado@luna.net,+1-409-796-9308x4887,2022-12-09,2023-10-05,39
150,Walker-Barton,United States,Washington,Dennishaven,Healthcare,Prospect,TAX362246,sanderswayne@allen.com,001-582-372-2992x75037,2023-07-25,2023-12-26,26
151,Wood-Williams,Canada,Indiana,Paulmouth,Healthcare,Active,TAX348728,williamsdeborah@padilla.com,001-849-589-2665x9184,2023-02-21,2023-12-10,46
152,"Sullivan, Roth and Reed",United States,New Mexico,New Nicolemouth,Retail,Inactive,TAX123005,jerryrobertson@lewis-lopez.com,+1-813-265-1777x392,2024-09-10,2024-12-31,36
153,Williams PLC,India,Pennsylvania,East Crystal,Retail,Prospect,TAX151426,macdonalddylan@scott.net,(899)404-1379x7723,2024-05-26,2024-12-31,37
154,"Hoover, White and Keller",Germany,Kentucky,Lake Gina,Software,Prospect,TAX940886,ecarlson@gray.com,9382862912,2022-12-23,2023-04-14,25
155,"Gordon, Wilson and Olson",United States,Florida,Port Erikachester,Retail,Prospect,TAX904751,cwood@moreno.biz,(899)616-2473x149,2024-09-12,2024-12-31,18
156,Smith Ltd,United States,Alabama,New Adrianborough,Retail,Prospect,TAX141337,robert12@pearson-king.net,(995)694-6368x87258,2022-09-25,2023-05-08,5
157,Lane-Schroeder,United States,Montana,Port Michelle,Retail,Active,TAX194511,adkinssean@avery.com,+1-890-326-0127,2022-08-28,2023-02-11,54
158,Baker LLC,India,Colorado,Lake Patrickfurt,Software,Prospect,TAX483629,jennifer90@bowman.com,484.230.9883,2023-12-24,2024-09-05,35
159,Allen-Smith,Japan,Hawaii,West Kimberlystad,Finance,Inactive,TAX945664,msullivan@smith.net,689-455-4393x7690,2022-08-28,2023-02-17,15
160,Hunter-Hansen,United States,North Carolina,Matthewville,Semiconductors,Active,TAX890785,nancy94@ramos.com,001-857-779-0714x16335,2022-04-08,2023-03-20,51
161,"Nichols, Haynes and Baker",Canada,Maine,South Emilymouth,Manufacturing,Inactive,TAX194689,spencergregory@gomez-shannon.com,(537)533-3433,2023-03-20,2023-03-27,34
162,"Kelly, Maxwell and Wilson",United States,Colorado,Austinside,Healthcare,Inactive,TAX805511,charlesnathan@vasquez-galloway.org,972-284-6392x086,2024-10-08,2024-12-31,75
163,"Reed, Dalton and Parsons",India,New Jersey,Lake Aprilmouth,Retail,Inactive,TAX213609,smithjason@garcia.com,+1-943-847-9552,2024-10-14,2024-12-31,61
164,Barnes LLC,India,Mississippi,Ramirezburgh,Manufacturing,Inactive,TAX739717,tiffanyparks@le.net,(963)622-7026x72885,2022-03-30,2023-02-24,9
165,Hart-Bradley,United States,Montana,Lake Frankborough,Healthcare,Prospect,TAX416869,thomas17@cook.com,(706)715-9399x824,2024-08-22,2024-12-31,15
166,"Dixon, Hampton and Griffin",India,Colorado,Austinmouth,Semiconductors,Inactive,TAX616554,mirandadavidson@fisher-salazar.biz,812-653-5544,2021-08-26,2021-10-14,31
167,Norman-Mcmillan,Japan,West Virginia,Gutierrezburgh,Software,Inactive,TAX575679,martinezjimmy@shepard-haynes.com,226.811.1780,2023-01-30,2024-01-08,70
168,"Hubbard, Miller and Baker",United States,Georgia,Lake Sarahfurt,Retail,Prospect,TAX262029,jerome47@martinez.com,+1-955-877-8487x28299,2023-04-30,2024-03-30,13
169,"Bowman, Ferguson and Stout",Japan,New Mexico,Port Christopher,Manufacturing,Inactive,TAX393328,michael42@smith-mills.com,(547)280-7740x649,2021-03-09,2022-02-25,48
